Flujo,Fecha,Cod. RPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,AYAG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5469,4.1133,7.8696,6.1998,7.5282,7.3707,7.0746,6.2679,7.3161,8.0181,2.3097,0.2334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,AYAG1345,0.0099,0.0099,0.0096,0.0099,0.0093,0.0096,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027,0.0090,0.0087,0.0087,0.0087,0.0090,0.0093,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,AYAG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5760,4.9845,7.3311,2.6112,1.3038,6.5523,6.0342,9.2352,9.0000,7.2735,4.3701,0.4953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,AYAG1345,0.0093,0.0096,0.0096,0.0096,0.0099,0.0099,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0093,0.0093,0.0096,0.0099,0.0096,0.0099,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,AYAG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4764,4.6347,5.9913,6.1911,8.7414,9.2625,9.3861,9.3102,8.8101,7.0275,3.3474,0.5013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,AYAG1345,0.0096,0.0096,0.0096,0.0093,0.0099,0.0099,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.0096,0.0096,0.0093,0.0090,0.0093,0.0102,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,AYAG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4056,4.6584,4.8681,7.2201,4.9314,6.4173,8.4159,7.6707,8.3574,6.6183,3.8079,0.3723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,BOLT1220,30.1500,29.3500,29.0500,28.5750,27.9750,27.2750,25.7500,23.9250,22.8250,22.6000,23.1250,23.9000,24.7000,26.9250,27.0250,28.0250,29.2500,29.4500,31.8000,31.3500,31.1500,31.9000,32.3000,32.4000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,BOLT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,BOLT1220,32.0500,30.6250,29.6750,28.3750,28.7000,28.2750,26.1250,24.3500,23.2250,22.7500,23.2000,23.6000,24.3500,25.3000,25.8250,26.5500,28.1500,28.7000,30.2500,29.9500,30.2750,31.2250,31.6500,31.2250,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,BOLT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
